name,address,rating,price,popularity,verified,station_idx,distance,lat_lon
Strata Cafe University of Auckland,2 Alfred Street,6.5,1,0.8720420840963768,False,0,179,"-36.851812,174.769457"
Relax a Lodge,30-38 Princes Street,6.7,1,0.847445150633775,False,0,253,"-36.85209,174.768454"
Uni Sushi,30-38 Princes Street,6.3,2,0.7824517936012065,False,0,206,"-36.852262,174.768509"
Jin Hai Wan Chinese Seafood Restaurant,57-59 Wakefield St,7.9,1,0.8624008043376782,False,0,404,"-36.854518,174.765025"
Piko Cafe,55 Wellesley Street East,7.3,1,0.95299651693059,True,0,400,"-36.852549,174.766527"
No. 1 Pancake,Lorne Street,8.2,2,0.024794427088943947,False,0,543,"-36.851036,174.765474"
Revive,33 Lorne Street,8.0,2,0.8849150777406729,False,0,552,"-36.850722,174.765293"
Chom Na Thai Food,40 Lorne Street,7.6,2,0.985636827175123,False,0,542,"-36.851036,174.765474"
Mrs Higgins Oven Fresh Cookies,268 Queen Street,8.7,1,0.9501418363316456,False,0,638,"-36.850198,174.76499"
The Kimchi Project,20 Lorne St,7.7,2,0.9700707386261626,False,0,563,"-36.850285,174.76589"
Kura Sake Bar,315b Queen Street,8.5,2,0.1664691730403246,False,1,111,"-36.853433,174.763235"
Tanuki's Cave,319 Queen Street,8.0,2,0.9085784049696578,False,1,109,"-36.853761,174.763066"
Kang Nam Station,329 Queen Street,7.2,2,0.9489927825056556,False,1,94,"-36.85379,174.762994"
Bite - Brazilian Eatery,54/368 Queen Street,8.4,2,0.9933929405005566,False,1,194,"-36.852808,174.7635"
Ah Ssak,472 Queen Street,7.5,2,0.9362993285216704,False,1,152,"-36.855921,174.762525"
Le Garde-Manger,466 Queen Street,7.1,3,0.9540917088584868,False,1,137,"-36.855757,174.762609"
Il Mee 一味食堂,480 Queen St,7.3,2,0.8790261768824733,False,1,175,"-36.855921,174.762525"
Katsura Japanese Restaurant,71 Mayoral Drive,8.4,2,0.9866422492728644,False,1,275,"-36.852719,174.760854"
Nando's,328 Queen St,7.7,2,0.9836798448777335,False,1,244,"-36.852593,174.764031"
"Eight at Cordis, Auckland",83 Symonds Street,7.9,-1,0.9916873137276024,True,1,273,"-36.857211,174.763807"
Katsura Japanese Restaurant,71 Mayoral Drive,8.4,2,0.9866422492728644,False,2,340,"-36.852719,174.760854"
Odettes,90 Wellesley Street West,8.4,-1,0.947215339868577,False,2,436,"-36.84984,174.758385"
Best Ugly Bagels,Nelson Street,8.3,1,0.9789399978455241,False,2,441,"-36.849915,174.758518"
Satya South Indian Cafe,271 Karangahape Road,8.5,-1,0.9706991274372508,False,2,459,"-36.857427,174.758339"
Scratch Bakers,77 Cook Street,7.6,1,0.3383424898560092,False,2,405,"-36.850412,174.756658"
Coco's Cantina,376 Karangahape Road,8.6,-1,0.9589751876189451,False,2,499,"-36.8582,174.756593"
Three Beans Roastery,90 Wellesley Street West,7.2,1,0.946299687600991,False,2,376,"-36.849542,174.758482"
Uncle Man,277 Karangahape Road,7.7,2,0.8997091457502963,True,2,460,"-36.857427,174.758339"
Food Truck Garage,90 Wellesley Street,7.6,1,0.9176631117813925,True,2,450,"-36.849575,174.759038"
Kura Sake Bar,315b Queen Street,8.5,2,0.1664691730403246,False,2,528,"-36.853433,174.763235"
Hectors Restaurant,35 Hobson Street,7.4,1,0.5779022586089267,True,3,60,"-36.846548,174.762032"
Salt,1 Fanshawe St,7.5,1,0.8813961003985781,False,3,139,"-36.844953,174.76109"
Akbar Durbar Indian Takeaways,51-61 Hobson Street,7.6,2,0.9417393802290926,False,3,143,"-36.847278,174.761827"
Major Sprout,21 Graham Street,8.3,1,0.8990628029731768,False,3,211,"-36.846698,174.759434"
1947 Eatery,60 Federal St,8.1,2,0.9731588207835111,False,3,230,"-36.847809,174.762967"
Scratch Bakers,5 Graham Street,7.7,1,0.9883299220797874,True,3,207,"-36.847138,174.759464"
Grand Harbour Chinese Restaurant,Cnr Pakenham Street East,7.6,1,0.9850443462960968,False,3,208,"-36.844621,174.760247"
Boracay Garden Restaurant,124 Customs Street West,8.5,2,0.9614169269991741,False,3,278,"-36.843685,174.760959"
Kingston Street Cafe,16 Kingston Street,7.3,1,0.8862077632949118,False,3,191,"-36.847613,174.762915"
Federal Delicatessen,86 Federal Street,8.9,2,0.992908183417717,False,3,303,"-36.849102,174.762433"
Cafe Melba,33 Vulcan Lane,8.5,1,0.9211820891234874,False,4,50,"-36.847307,174.766854"
That's Amore,42 High Street,8.4,2,0.9480771302380696,True,4,46,"-36.848045,174.766788"
Sushi Train - Chancery,32 Courthouse Lane,8.0,2,0.9824051132895256,False,4,31,"-36.84804,174.767278"
