name,address,rating,price,review_count,station_idx,distance,lat_lon
Depot,86 Federal St,4.5,3,294,0,873.0042880685842,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,0,873.0042880685842,"-36.8489969,174.7625058"
Woodpecker Hill,196 Parnell Rd,4.5,3,26,0,859.9294866965904,"-36.8546219,174.7801666"
Mamak,50 Kitchener St,4.5,1,60,0,612.381650948749,"-36.848316,174.76767"
Elliott Stables,39 Elliott St,4.5,2,72,0,717.3773275750312,"-36.8502509,174.7636168"
BannSang,1C/47 High St,4.5,2,55,0,682.8743290935159,"-36.8482228458385,174.766330253895"
Amano,66 - 68 Tyler St,4.5,3,67,0,972.1814381233811,"-36.844498,174.7703587"
Brew On Quay,102 Quay St,4.0,2,28,0,974.3800493119621,"-36.8444724,174.7706874"
Albert Park Cafe,18 Kitchener St,4.5,2,50,0,530.9693587073365,"-36.8498,174.7663"
That's Amore,1 Courthouse Ln,5.0,2,30,0,652.1706231863816,"-36.848159,174.767093"
Depot,86 Federal St,4.5,3,294,1,620.3817898738664,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,1,620.3817898738664,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,1,482.2032901201236,"-36.8502509,174.7636168"
Tanuki's Cave,319b Queen Street,4.0,2,32,1,110.76225950089243,"-36.8535713,174.76316"
Le garde-manger,466 Queen St,4.5,2,33,1,144.6023877837847,"-36.8558117,174.7625738"
Da Vinci's Restaurant,5 City Rd,4.0,2,20,1,282.88566847658916,"-36.856983,174.763992"
Yummy Dumpling House,458 Queen St,4.5,-1,4,1,116.46609464625747,"-36.85558,174.7627"
Mamak,50 Kitchener St,4.5,1,60,1,808.3722050493435,"-36.848316,174.76767"
Citizen Q,305 Queen St,4.5,-1,3,1,134.80327622301058,"-36.8527489,174.7634735"
Odettes Eatery,90 Wellesley St West,4.5,2,45,1,674.0384072887712,"-36.84943,174.75905"
Depot,86 Federal St,4.5,3,294,2,682.4740712436953,"-36.8489969,174.7625058"
Federal Delicatessen,86 Federal St,4.5,2,201,2,682.4740712436953,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,2,666.7873197111712,"-36.8502509,174.7636168"
Odettes Eatery,90 Wellesley St West,4.5,2,45,2,429.59257102291843,"-36.84943,174.75905"
